transaction_id,amount,currency,customer_id,created_at,status,adyen_psp_reference,merchant_account,value_in_cents,booking_date
TXN-4343500C,2551.16,USD,CUST-7088,2024-12-10 05:54:00,failed,ADYEN-799727,MerchantAccountUSD,255116,2024-12-11 05:54:00
TXN-91E59712,4757.07,USD,CUST-9592,2024-07-17 05:10:00,refunded,ADYEN-892036,MerchantAccountUSD,475707,2024-07-18 05:10:00
TXN-7CC9EC24,4770.14,USD,CUST-6521,2024-06-13 00:42:00,settled,ADYEN-218863,MerchantAccountUSD,477014,2024-06-14 00:42:00
TXN-050ABDF0,2796.14,USD,CUST-9337,2024-01-01 11:22:00,failed,ADYEN-318999,MerchantAccountUSD,279614,2024-01-02 11:22:00
TXN-566D7779,3959.84,EUR,CUST-3577,2024-08-10 09:01:00,settled,ADYEN-749081,MerchantAccountUSD,395984,2024-08-11 09:01:00
TXN-6C960901,3826.67,EUR,CUST-1716,2024-12-27 03:34:00,settled,ADYEN-249904,MerchantAccountUSD,382667,2024-12-28 03:34:00
TXN-0ECCA95C,2118.06,USD,CUST-5963,2024-08-05 08:47:00,settled,ADYEN-934959,MerchantAccountUSD,211806,2024-08-06 08:47:00
TXN-0CCD8E0C,4332.03,EUR,CUST-6668,2024-08-05 06:39:00,failed,ADYEN-791714,MerchantAccountUSD,433203,2024-08-06 06:39:00
TXN-6FDD36DF,2456.21,EUR,CUST-6851,2024-10-05 15:18:00,settled,ADYEN-950301,MerchantAccountUSD,245621,2024-10-06 15:18:00
TXN-22779EA9,522.16,EUR,CUST-3649,2024-11-13 16:17:00,refunded,ADYEN-247360,MerchantAccountUSD,52216,2024-11-14 16:17:00
TXN-4D91EEFE,596.37,USD,CUST-7645,2024-12-04 08:42:00,settled,ADYEN-284538,MerchantAccountUSD,59637,2024-12-05 08:42:00
TXN-53F1F4ED,4402.65,EUR,CUST-3860,2024-01-08 03:05:00,settled,ADYEN-321043,MerchantAccountUSD,440264,2024-01-09 03:05:00
TXN-51EFE5C4,3109.55,USD,CUST-6754,2024-08-05 15:07:00,settled,ADYEN-160940,MerchantAccountUSD,310955,2024-08-06 15:07:00
TXN-F8B21A10,1421.8,USD,CUST-5321,2024-09-21 10:27:00,settled,ADYEN-397968,MerchantAccountUSD,142180,2024-09-22 10:27:00
