transaction_id,amount,currency,customer_id,created_at,status,gl_account,posted_at,ledger_entry_id
TXN-F2040EE4,3200.74,USD,CUST-5506,2024-05-05 07:08:00,settled,2011-CUST-FUNDS-EUR,2024-05-06 07:08:00,GL-F6D1100C
TXN-51127B8A,3386.73,GBP,CUST-2424,2024-10-29 13:02:00,settled,2011-CUST-FUNDS-EUR,2024-10-30 13:02:00,GL-3435774F
TXN-6DC34FF6,477.54,USD,CUST-9279,2024-11-04 00:35:00,settled,2011-CUST-FUNDS-EUR,2024-11-05 00:35:00,GL-BB370EC0
TXN-A5C77B50,3582.94,GBP,CUST-7873,2024-04-22 14:37:00,settled,2011-CUST-FUNDS-EUR,2024-04-23 14:37:00,GL-E08367EF
TXN-AAF115B0,4049.06,USD,CUST-3615,2024-12-23 13:21:00,settled,2011-CUST-FUNDS-EUR,2024-12-24 13:21:00,GL-F142211B
TXN-DC33D7F9,785.84,USD,CUST-2674,2024-02-17 12:06:00,settled,2011-CUST-FUNDS-EUR,2024-02-18 12:06:00,GL-B82D2F21
TXN-BDF87920,4239.0,GBP,CUST-5333,2024-01-23 23:29:00,failed,2011-CUST-FUNDS-EUR,2024-01-24 23:29:00,GL-B40BF340
TXN-179601FD,632.88,EUR,CUST-2291,2024-10-09 09:53:00,failed,2011-CUST-FUNDS-EUR,2024-10-10 09:53:00,GL-85BBF9D1
TXN-1B480570,4428.4,USD,CUST-4150,2024-12-26 02:02:00,settled,2011-CUST-FUNDS-EUR,2024-12-27 02:02:00,GL-D5F6B8FB
TXN-43615533,3867.61,USD,CUST-4814,2024-02-21 12:17:00,refunded,2011-CUST-FUNDS-EUR,2024-02-22 12:17:00,GL-50064C02
TXN-137F4D80,3182.07,USD,CUST-3664,2024-07-08 11:13:00,settled,2011-CUST-FUNDS-EUR,2024-07-09 11:13:00,GL-6E77BCA0
TXN-E23D8F81,3512.08,USD,CUST-3803,2024-09-30 23:15:00,settled,2011-CUST-FUNDS-EUR,2024-10-01 23:15:00,GL-22B6F150
TXN-9863FEF0,2316.68,USD,CUST-4598,2024-12-16 10:53:00,settled,2011-CUST-FUNDS-EUR,2024-12-17 10:53:00,GL-E687208A
TXN-0E38B87B,1152.95,USD,CUST-6168,2024-07-24 08:04:00,settled,2011-CUST-FUNDS-EUR,2024-07-25 08:04:00,GL-892C750B
TXN-4E8CDC96,4566.55,GBP,CUST-6155,2024-04-18 20:31:00,refunded,2011-CUST-FUNDS-EUR,2024-04-19 20:31:00,GL-81A81DB7
TXN-E49451D4,4424.57,EUR,CUST-3340,2024-05-15 04:15:00,failed,2011-CUST-FUNDS-EUR,2024-05-16 04:15:00,GL-1835C51D
TXN-A6816D6D,2699.5,GBP,CUST-8019,2024-10-25 12:23:00,settled,2011-CUST-FUNDS-EUR,2024-10-26 12:23:00,GL-86F80BD1
TXN-BE6C8DCD,4986.66,USD,CUST-9348,2024-09-09 02:48:00,settled,2011-CUST-FUNDS-EUR,2024-09-10 02:48:00,GL-F385D99F
TXN-D3E16A02,4306.9,USD,CUST-3621,2024-12-14 13:38:00,settled,2011-CUST-FUNDS-EUR,2024-12-15 13:38:00,GL-966ADEBE
TXN-4FCAA21E,1929.99,GBP,CUST-8668,2024-09-27 08:35:00,settled,2011-CUST-FUNDS-EUR,2024-09-28 08:35:00,GL-112416D2
TXN-8D9F2B95,3404.61,USD,CUST-9797,2024-05-16 20:21:00,settled,2011-CUST-FUNDS-EUR,2024-05-17 20:21:00,GL-CC354B0C
TXN-817A18F2,1474.57,USD,CUST-8433,2024-01-02 23:56:00,settled,2011-CUST-FUNDS-EUR,2024-01-03 23:56:00,GL-8561E60A
TXN-7C76B486,4859.72,USD,CUST-9317,2024-02-24 20:19:00,failed,2011-CUST-FUNDS-EUR,2024-02-25 20:19:00,GL-514701E1
TXN-396A3FEC,3048.76,USD,CUST-7126,2024-03-23 17:49:00,failed,2011-CUST-FUNDS-EUR,2024-03-24 17:49:00,GL-00F18A2B
TXN-E72AC1C4,4593.28,GBP,CUST-6310,2024-09-07 00:07:00,settled,2011-CUST-FUNDS-EUR,2024-09-08 00:07:00,GL-5909827B
TXN-40455531,4394.82,USD,CUST-4923,2024-01-30 07:56:00,failed,2011-CUST-FUNDS-EUR,2024-01-31 07:56:00,GL-BD290C81
TXN-A1973248,4735.28,USD,CUST-8962,2024-02-05 17:49:00,settled,2011-CUST-FUNDS-EUR,2024-02-06 17:49:00,GL-6F0407FD
TXN-4E612963,650.67,EUR,CUST-3705,2024-05-15 16:55:00,failed,2011-CUST-FUNDS-EUR,2024-05-16 16:55:00,GL-5A576CA7
TXN-8AC3DF2A,2121.46,USD,CUST-9835,2024-12-19 06:45:00,settled,2011-CUST-FUNDS-EUR,2024-12-20 06:45:00,GL-A4DB7B84
TXN-EDD8A5C2,2000.97,USD,CUST-8177,2024-09-21 14:07:00,settled,2011-CUST-FUNDS-EUR,2024-09-22 14:07:00,GL-CEBC4B73
TXN-E984F299,1131.24,USD,CUST-1344,2024-10-28 17:14:00,failed,2011-CUST-FUNDS-EUR,2024-10-29 17:14:00,GL-0E90408F
TXN-BDF5DCA9,1108.88,USD,CUST-1964,2024-04-27 02:57:00,settled,2011-CUST-FUNDS-EUR,2024-04-28 02:57:00,GL-81E98128
TXN-9F4566B0,4299.58,USD,CUST-9423,2024-05-01 08:42:00,refunded,2011-CUST-FUNDS-EUR,2024-05-02 08:42:00,GL-3BB60913
TXN-8EAEB2BF,1079.04,USD,CUST-8744,2024-05-04 15:51:00,refunded,2011-CUST-FUNDS-EUR,2024-05-05 15:51:00,GL-6C40F2B1
TXN-B663571D,960.15,USD,CUST-8062,2024-06-30 13:26:00,refunded,2011-CUST-FUNDS-EUR,2024-07-01 13:26:00,GL-70803CBD
TXN-EEAAB0C5,4320.55,USD,CUST-2612,2024-02-01 12:46:00,settled,2011-CUST-FUNDS-EUR,2024-02-02 12:46:00,GL-DC9D98A5
TXN-CA7CF098,4004.96,USD,CUST-5073,2024-04-08 06:34:00,refunded,2011-CUST-FUNDS-EUR,2024-04-09 06:34:00,GL-D535E384
TXN-DD8552CE,709.51,USD,CUST-5563,2024-08-24 07:55:00,settled,2011-CUST-FUNDS-EUR,2024-08-25 07:55:00,GL-E37F2854
TXN-F58EBBD3,2221.22,GBP,CUST-2604,2024-01-26 20:34:00,settled,2011-CUST-FUNDS-EUR,2024-01-27 20:34:00,GL-40CE61C3
TXN-AE7055DD,4324.61,USD,CUST-3697,2024-07-13 00:24:00,settled,2011-CUST-FUNDS-EUR,2024-07-14 00:24:00,GL-BBE242C5
TXN-AB4DE540,4633.33,EUR,CUST-5673,2024-08-04 22:46:00,failed,2011-CUST-FUNDS-EUR,2024-08-05 22:46:00,GL-7FC9F80A
TXN-54E8C9F5,3312.74,EUR,CUST-3536,2024-04-07 09:13:00,settled,2011-CUST-FUNDS-EUR,2024-04-08 09:13:00,GL-1272B5A5
TXN-CBDB40D2,2900.11,GBP,CUST-1998,2024-06-09 01:03:00,failed,2011-CUST-FUNDS-EUR,2024-06-10 01:03:00,GL-73A2A15A
TXN-81291F0F,2389.17,GBP,CUST-3579,2024-01-30 16:05:00,settled,2011-CUST-FUNDS-EUR,2024-01-31 16:05:00,GL-6D1660D1
TXN-9C70625B,351.92,USD,CUST-4853,2024-07-25 03:56:00,failed,2011-CUST-FUNDS-EUR,2024-07-26 03:56:00,GL-22EB4A5C
TXN-644AE509,1238.61,GBP,CUST-1651,2024-11-13 02:26:00,failed,2011-CUST-FUNDS-EUR,2024-11-14 02:26:00,GL-9E65021D
TXN-F7FDBE67,2830.48,USD,CUST-5272,2024-04-14 21:45:00,settled,2011-CUST-FUNDS-EUR,2024-04-15 21:45:00,GL-E7CC50EA
TXN-04428F18,1201.04,EUR,CUST-3144,2024-12-09 20:19:00,refunded,2011-CUST-FUNDS-EUR,2024-12-10 20:19:00,GL-33D8A24B
TXN-C69033BB,1587.72,USD,CUST-1152,2024-08-22 19:36:00,settled,2011-CUST-FUNDS-EUR,2024-08-23 19:36:00,GL-DD956573
TXN-40C24E65,375.57,USD,CUST-9288,2024-05-15 04:59:00,settled,2011-CUST-FUNDS-EUR,2024-05-16 04:59:00,GL-E40A9944
TXN-02C211C5,4405.51,USD,CUST-7054,2024-05-25 05:28:00,failed,2011-CUST-FUNDS-EUR,2024-05-26 05:28:00,GL-D6ABEF3B
TXN-56C21F84,3520.66,GBP,CUST-9666,2024-01-05 21:52:00,failed,2011-CUST-FUNDS-EUR,2024-01-06 21:52:00,GL-4A66BE7F
TXN-3789CE06,1503.9,USD,CUST-3200,2024-05-15 03:56:00,settled,2011-CUST-FUNDS-EUR,2024-05-16 03:56:00,GL-0AE07629
TXN-2C28C73D,3714.66,USD,CUST-5462,2024-05-24 19:13:00,settled,2011-CUST-FUNDS-EUR,2024-05-25 19:13:00,GL-EA675375
TXN-64F23E1E,1025.95,USD,CUST-9280,2024-09-07 08:57:00,settled,2011-CUST-FUNDS-EUR,2024-09-08 08:57:00,GL-3D219526
TXN-E5128870,470.57,EUR,CUST-5533,2024-01-23 00:21:00,settled,2011-CUST-FUNDS-EUR,2024-01-24 00:21:00,GL-E6DE1EE3
TXN-E31ADEB5,3189.2,USD,CUST-3647,2024-08-14 17:45:00,refunded,2011-CUST-FUNDS-EUR,2024-08-15 17:45:00,GL-8D20A111
TXN-D548F342,2808.93,USD,CUST-2232,2024-12-19 04:34:00,settled,2011-CUST-FUNDS-EUR,2024-12-20 04:34:00,GL-CE41BB3B
TXN-A6B9B8E2,4174.63,GBP,CUST-3426,2024-08-08 04:02:00,settled,2011-CUST-FUNDS-EUR,2024-08-09 04:02:00,GL-86778744
TXN-6247F4A6,1829.61,USD,CUST-6862,2024-04-17 21:15:00,settled,2011-CUST-FUNDS-EUR,2024-04-18 21:15:00,GL-E30E3AD1
TXN-6A19ECD9,1774.86,GBP,CUST-7658,2024-11-13 23:09:00,settled,2011-CUST-FUNDS-EUR,2024-11-14 23:09:00,GL-4C05F4BA
TXN-39480F17,4324.38,USD,CUST-7755,2024-01-13 05:47:00,settled,2011-CUST-FUNDS-EUR,2024-01-14 05:47:00,GL-4812BC15
TXN-DE8D40AA,3914.11,EUR,CUST-5065,2024-05-16 05:50:00,settled,2011-CUST-FUNDS-EUR,2024-05-17 05:50:00,GL-CFB4EF29
TXN-345A467D,1918.88,USD,CUST-8711,2024-04-23 06:52:00,refunded,2011-CUST-FUNDS-EUR,2024-04-24 06:52:00,GL-F3F9B2A2
TXN-5DDBCE6D,1754.8,USD,CUST-4652,2024-01-13 21:12:00,refunded,2011-CUST-FUNDS-EUR,2024-01-14 21:12:00,GL-71F8FCA7
TXN-914C9550,1648.03,USD,CUST-5573,2024-06-28 20:32:00,refunded,2011-CUST-FUNDS-EUR,2024-06-29 20:32:00,GL-618C1177
TXN-80F8260A,3400.8,GBP,CUST-6425,2024-01-15 03:56:00,settled,2011-CUST-FUNDS-EUR,2024-01-16 03:56:00,GL-5A8158EA
TXN-B1980C14,901.05,USD,CUST-1626,2024-02-25 19:27:00,settled,2011-CUST-FUNDS-EUR,2024-02-26 19:27:00,GL-410AFF89
TXN-26257C39,3645.44,USD,CUST-8149,2024-11-06 16:07:00,refunded,2011-CUST-FUNDS-EUR,2024-11-07 16:07:00,GL-6CA9B0DE
TXN-BD3FC8E4,4498.53,USD,CUST-5173,2024-01-23 22:27:00,settled,2011-CUST-FUNDS-EUR,2024-01-24 22:27:00,GL-DB06DDC6
TXN-3F8B50D3,2604.4,GBP,CUST-4228,2024-07-05 13:04:00,settled,2011-CUST-FUNDS-EUR,2024-07-06 13:04:00,GL-6A0A1ABF
TXN-BED8C0AA,3119.55,USD,CUST-5920,2024-09-16 09:42:00,refunded,2011-CUST-FUNDS-EUR,2024-09-17 09:42:00,GL-BC8331B5
TXN-043D0A41,1637.65,USD,CUST-3085,2024-04-08 13:42:00,refunded,2011-CUST-FUNDS-EUR,2024-04-09 13:42:00,GL-B2B0FC57
TXN-0171A86B,3389.82,USD,CUST-5930,2024-07-26 17:53:00,settled,2011-CUST-FUNDS-EUR,2024-07-27 17:53:00,GL-F2182935
TXN-FB8B0C02,1526.34,USD,CUST-8043,2024-10-23 19:41:00,settled,2011-CUST-FUNDS-EUR,2024-10-24 19:41:00,GL-955C9C48
TXN-4B7E6190,2330.29,EUR,CUST-4501,2024-09-18 15:50:00,settled,2011-CUST-FUNDS-EUR,2024-09-19 15:50:00,GL-AF9265A1
TXN-E082C650,3297.67,USD,CUST-9445,2024-12-05 20:39:00,settled,2011-CUST-FUNDS-EUR,2024-12-06 20:39:00,GL-4AB9D17F
TXN-BF2C2AE6,476.0,USD,CUST-6085,2024-04-25 06:09:00,settled,2011-CUST-FUNDS-EUR,2024-04-26 06:09:00,GL-F6421049
TXN-9D74E40D,240.61,EUR,CUST-2193,2024-08-21 13:56:00,failed,2011-CUST-FUNDS-EUR,2024-08-22 13:56:00,GL-711505D0
