transaction_id,amount,currency,customer_id,created_at,status,stripe_transaction_id,fee,net_amount,settled_at
TXN-F2040EE4,3200.74,USD,CUST-5506,2024-05-05 07:08:00,settled,STR-TXN-F2040EE4,93.12,3107.62,2024-05-07 07:08:00
TXN-51127B8A,3386.73,GBP,CUST-2424,2024-10-29 13:02:00,settled,STR-TXN-51127B8A,98.52,3288.21,2024-10-31 13:02:00
TXN-6DC34FF6,477.54,USD,CUST-9279,2024-11-04 00:35:00,settled,STR-TXN-6DC34FF6,14.15,463.39,2024-11-06 00:35:00
TXN-A5C77B50,3582.94,GBP,CUST-7873,2024-04-22 14:37:00,settled,STR-TXN-A5C77B50,104.21,3478.73,2024-04-24 14:37:00
TXN-AAF115B0,4049.06,USD,CUST-3615,2024-12-23 13:21:00,settled,STR-TXN-AAF115B0,117.72,3931.34,2024-12-25 13:21:00
TXN-DC33D7F9,785.84,USD,CUST-2674,2024-02-17 12:06:00,settled,STR-TXN-DC33D7F9,23.09,762.75,2024-02-19 12:06:00
TXN-BDF87920,4239.0,GBP,CUST-5333,2024-01-23 23:29:00,failed,STR-TXN-BDF87920,123.23,4115.77,2024-01-25 23:29:00
TXN-179601FD,632.88,EUR,CUST-2291,2024-10-09 09:53:00,failed,STR-TXN-179601FD,18.65,614.23,2024-10-11 09:53:00
TXN-1B480570,4428.4,USD,CUST-4150,2024-12-26 02:02:00,settled,STR-TXN-1B480570,128.72,4299.68,2024-12-28 02:02:00
TXN-43615533,3867.61,USD,CUST-4814,2024-02-21 12:17:00,refunded,STR-TXN-43615533,112.46,3755.15,2024-02-23 12:17:00
TXN-137F4D80,3182.07,USD,CUST-3664,2024-07-08 11:13:00,settled,STR-TXN-137F4D80,92.58,3089.49,2024-07-10 11:13:00
TXN-E23D8F81,3512.08,USD,CUST-3803,2024-09-30 23:15:00,settled,STR-TXN-E23D8F81,102.15,3409.93,2024-10-02 23:15:00
TXN-9863FEF0,2316.68,USD,CUST-4598,2024-12-16 10:53:00,settled,STR-TXN-9863FEF0,67.48,2249.2,2024-12-18 10:53:00
TXN-0E38B87B,1152.95,USD,CUST-6168,2024-07-24 08:04:00,settled,STR-TXN-0E38B87B,33.74,1119.21,2024-07-26 08:04:00
TXN-4E8CDC96,4566.55,GBP,CUST-6155,2024-04-18 20:31:00,refunded,STR-TXN-4E8CDC96,132.73,4433.82,2024-04-20 20:31:00
TXN-E49451D4,4424.57,EUR,CUST-3340,2024-05-15 04:15:00,failed,STR-TXN-E49451D4,128.61,4295.96,2024-05-17 04:15:00
TXN-A6816D6D,2699.5,GBP,CUST-8019,2024-10-25 12:23:00,settled,STR-TXN-A6816D6D,78.59,2620.91,2024-10-27 12:23:00
TXN-BE6C8DCD,4986.66,USD,CUST-9348,2024-09-09 02:48:00,settled,STR-TXN-BE6C8DCD,144.91,4841.75,2024-09-11 02:48:00
TXN-D3E16A02,4306.9,USD,CUST-3621,2024-12-14 13:38:00,settled,STR-TXN-D3E16A02,125.2,4181.7,2024-12-16 13:38:00
TXN-4FCAA21E,1929.99,GBP,CUST-8668,2024-09-27 08:35:00,settled,STR-TXN-4FCAA21E,56.27,1873.72,2024-09-29 08:35:00
TXN-8D9F2B95,3404.61,USD,CUST-9797,2024-05-16 20:21:00,settled,STR-TXN-8D9F2B95,99.03,3305.58,2024-05-18 20:21:00
TXN-817A18F2,1474.57,USD,CUST-8433,2024-01-02 23:56:00,settled,STR-TXN-817A18F2,43.06,1431.51,2024-01-04 23:56:00
TXN-7C76B486,4859.72,USD,CUST-9317,2024-02-24 20:19:00,failed,STR-TXN-7C76B486,141.23,4718.49,2024-02-26 20:19:00
TXN-396A3FEC,3048.76,USD,CUST-7126,2024-03-23 17:49:00,failed,STR-TXN-396A3FEC,88.71,2960.05,2024-03-25 17:49:00
TXN-E72AC1C4,4593.28,GBP,CUST-6310,2024-09-07 00:07:00,settled,STR-TXN-E72AC1C4,133.51,4459.77,2024-09-09 00:07:00
TXN-40455531,4394.82,USD,CUST-4923,2024-01-30 07:56:00,failed,STR-TXN-40455531,127.75,4267.07,2024-02-01 07:56:00
TXN-A1973248,4735.28,USD,CUST-8962,2024-02-05 17:49:00,settled,STR-TXN-A1973248,137.62,4597.66,2024-02-07 17:49:00
TXN-4E612963,650.67,EUR,CUST-3705,2024-05-15 16:55:00,failed,STR-TXN-4E612963,19.17,631.5,2024-05-17 16:55:00
TXN-8AC3DF2A,2121.46,USD,CUST-9835,2024-12-19 06:45:00,settled,STR-TXN-8AC3DF2A,61.82,2059.64,2024-12-21 06:45:00
TXN-EDD8A5C2,2020.98,USD,CUST-8177,2024-09-21 14:07:00,settled,STR-TXN-EDD8A5C2,58.33,1942.64,2024-09-23 14:07:00
TXN-E984F299,1131.24,USD,CUST-1344,2024-10-28 17:14:00,failed,STR-TXN-E984F299,33.11,1098.13,2024-10-30 17:14:00
TXN-BDF5DCA9,1119.97,USD,CUST-1964,2024-04-27 02:57:00,settled,STR-TXN-BDF5DCA9,32.46,1076.42,2024-04-29 02:57:00
TXN-9F4566B0,4299.58,USD,CUST-9423,2024-05-01 08:42:00,refunded,STR-TXN-9F4566B0,124.99,4174.59,2024-05-03 08:42:00
TXN-8EAEB2BF,1089.83,USD,CUST-8744,2024-05-04 15:51:00,refunded,STR-TXN-8EAEB2BF,31.59,1047.45,2024-05-06 15:51:00
TXN-B663571D,960.15,USD,CUST-8062,2024-06-30 13:26:00,refunded,STR-TXN-B663571D,28.14,932.01,2024-07-02 13:26:00
TXN-EEAAB0C5,4363.76,USD,CUST-2612,2024-02-01 12:46:00,settled,STR-TXN-EEAAB0C5,125.6,4194.95,2024-02-03 12:46:00
TXN-CA7CF098,4004.96,USD,CUST-5073,2024-04-08 06:34:00,refunded,STR-TXN-CA7CF098,116.44,3888.52,2024-04-10 06:34:00
TXN-DD8552CE,709.51,USD,CUST-5563,2024-08-24 07:55:00,settled,STR-TXN-DD8552CE,20.88,688.63,2024-08-26 07:55:00
TXN-F58EBBD3,2221.22,GBP,CUST-2604,2024-01-26 20:34:00,settled,STR-TXN-F58EBBD3,64.72,2156.5,2024-01-28 20:34:00
TXN-60186866,4893.74,USD,CUST-3724,2024-07-27 15:30:00,settled,STR-TXN-60186866,140.81,4704.48,2024-07-29 15:30:00
TXN-AE7055DD,4324.61,USD,CUST-3697,2024-07-13 00:24:00,settled,STR-TXN-AE7055DD,125.71,4198.9,2024-07-15 00:24:00
TXN-AB4DE540,4633.33,EUR,CUST-5673,2024-08-04 22:46:00,failed,STR-TXN-AB4DE540,134.67,4498.66,2024-08-06 22:46:00
TXN-54E8C9F5,3312.74,EUR,CUST-3536,2024-04-07 09:13:00,settled,STR-TXN-54E8C9F5,96.37,3216.37,2024-04-09 09:13:00
TXN-CBDB40D2,2900.11,GBP,CUST-1998,2024-06-09 01:03:00,failed,STR-TXN-CBDB40D2,84.4,2815.71,2024-06-11 01:03:00
TXN-81291F0F,2389.17,GBP,CUST-3579,2024-01-30 16:05:00,settled,STR-TXN-81291F0F,69.59,2319.58,2024-02-01 16:05:00
TXN-9C70625B,351.92,USD,CUST-4853,2024-07-25 03:56:00,failed,STR-TXN-9C70625B,10.51,341.41,2024-07-27 03:56:00
TXN-644AE509,1238.61,GBP,CUST-1651,2024-11-13 02:26:00,failed,STR-TXN-644AE509,36.22,1202.39,2024-11-15 02:26:00
TXN-F7FDBE67,2830.48,USD,CUST-5272,2024-04-14 21:45:00,settled,STR-TXN-F7FDBE67,82.38,2748.1,2024-04-16 21:45:00
TXN-04428F18,1201.04,EUR,CUST-3144,2024-12-09 20:19:00,refunded,STR-TXN-04428F18,35.13,1165.91,2024-12-11 20:19:00
TXN-C69033BB,1587.72,USD,CUST-1152,2024-08-22 19:36:00,settled,STR-TXN-C69033BB,46.34,1541.38,2024-08-24 19:36:00
TXN-40C24E65,375.57,USD,CUST-9288,2024-05-15 04:59:00,settled,STR-TXN-40C24E65,11.19,364.38,2024-05-17 04:59:00
TXN-02C211C5,4405.51,USD,CUST-7054,2024-05-25 05:28:00,failed,STR-TXN-02C211C5,128.06,4277.45,2024-05-27 05:28:00
TXN-56C21F84,3520.66,GBP,CUST-9666,2024-01-05 21:52:00,failed,STR-TXN-56C21F84,102.4,3418.26,2024-01-07 21:52:00
TXN-3789CE06,1503.9,USD,CUST-3200,2024-05-15 03:56:00,settled,STR-TXN-3789CE06,43.91,1459.99,2024-05-17 03:56:00
TXN-2C28C73D,3714.66,USD,CUST-5462,2024-05-24 19:13:00,settled,STR-TXN-2C28C73D,108.03,3606.63,2024-05-26 19:13:00
TXN-64F23E1E,1025.95,USD,CUST-9280,2024-09-07 08:57:00,settled,STR-TXN-64F23E1E,30.05,995.9,2024-09-09 08:57:00
TXN-E5128870,470.57,EUR,CUST-5533,2024-01-23 00:21:00,settled,STR-TXN-E5128870,13.95,456.62,2024-01-25 00:21:00
TXN-E31ADEB5,3189.2,USD,CUST-3647,2024-08-14 17:45:00,refunded,STR-TXN-E31ADEB5,92.79,3096.41,2024-08-16 17:45:00
TXN-D548F342,2808.93,USD,CUST-2232,2024-12-19 04:34:00,settled,STR-TXN-D548F342,81.76,2727.17,2024-12-21 04:34:00
TXN-A6B9B8E2,4174.63,GBP,CUST-3426,2024-08-08 04:02:00,settled,STR-TXN-A6B9B8E2,121.36,4053.27,2024-08-10 04:02:00
TXN-6247F4A6,1829.61,USD,CUST-6862,2024-04-17 21:15:00,settled,STR-TXN-6247F4A6,53.36,1776.25,2024-04-19 21:15:00
TXN-6A19ECD9,1774.86,GBP,CUST-7658,2024-11-13 23:09:00,settled,STR-TXN-6A19ECD9,51.77,1723.09,2024-11-15 23:09:00
TXN-39480F17,4324.38,USD,CUST-7755,2024-01-13 05:47:00,settled,STR-TXN-39480F17,125.71,4198.67,2024-01-15 05:47:00
TXN-DE8D40AA,3914.11,EUR,CUST-5065,2024-05-16 05:50:00,settled,STR-TXN-DE8D40AA,113.81,3800.3,2024-05-18 05:50:00
TXN-345A467D,1918.88,USD,CUST-8711,2024-04-23 06:52:00,refunded,STR-TXN-345A467D,55.95,1862.93,2024-04-25 06:52:00
TXN-5DDBCE6D,1754.8,USD,CUST-4652,2024-01-13 21:12:00,refunded,STR-TXN-5DDBCE6D,51.19,1703.61,2024-01-15 21:12:00
TXN-914C9550,1648.03,USD,CUST-5573,2024-06-28 20:32:00,refunded,STR-TXN-914C9550,48.09,1599.94,2024-06-30 20:32:00
TXN-80F8260A,3400.8,GBP,CUST-6425,2024-01-15 03:56:00,settled,STR-TXN-80F8260A,98.92,3301.88,2024-01-17 03:56:00
TXN-B1980C14,901.05,USD,CUST-1626,2024-02-25 19:27:00,settled,STR-TXN-B1980C14,26.43,874.62,2024-02-27 19:27:00
TXN-26257C39,3645.44,USD,CUST-8149,2024-11-06 16:07:00,refunded,STR-TXN-26257C39,106.02,3539.42,2024-11-08 16:07:00
TXN-BD3FC8E4,4498.53,USD,CUST-5173,2024-01-23 22:27:00,settled,STR-TXN-BD3FC8E4,130.76,4367.77,2024-01-25 22:27:00
TXN-3F8B50D3,2604.4,GBP,CUST-4228,2024-07-05 13:04:00,settled,STR-TXN-3F8B50D3,75.83,2528.57,2024-07-07 13:04:00
TXN-BED8C0AA,3119.55,USD,CUST-5920,2024-09-16 09:42:00,refunded,STR-TXN-BED8C0AA,90.77,3028.78,2024-09-18 09:42:00
TXN-043D0A41,1637.65,USD,CUST-3085,2024-04-08 13:42:00,refunded,STR-TXN-043D0A41,47.79,1589.86,2024-04-10 13:42:00
TXN-0171A86B,3389.82,USD,CUST-5930,2024-07-26 17:53:00,settled,STR-TXN-0171A86B,98.6,3291.22,2024-07-28 17:53:00
TXN-FB8B0C02,1526.34,USD,CUST-8043,2024-10-23 19:41:00,settled,STR-TXN-FB8B0C02,44.56,1481.78,2024-10-25 19:41:00
TXN-4B7E6190,2330.29,EUR,CUST-4501,2024-09-18 15:50:00,settled,STR-TXN-4B7E6190,67.88,2262.41,2024-09-20 15:50:00
TXN-E082C650,3297.67,USD,CUST-9445,2024-12-05 20:39:00,settled,STR-TXN-E082C650,95.93,3201.74,2024-12-07 20:39:00
TXN-BF2C2AE6,476.0,USD,CUST-6085,2024-04-25 06:09:00,settled,STR-TXN-BF2C2AE6,14.1,461.9,2024-04-27 06:09:00
TXN-9D74E40D,240.61,EUR,CUST-2193,2024-08-21 13:56:00,failed,STR-TXN-9D74E40D,7.28,233.33,2024-08-23 13:56:00
TXN-F6ACE7CA,990.03,EUR,CUST-9099,2024-07-23 07:09:00,settled,STR-TXN-F6ACE7CA,28.73,951.5,2024-07-25 07:09:00
TXN-D64D5AB7,4464.37,USD,CUST-7965,2024-04-22 05:51:00,failed,STR-TXN-D64D5AB7,129.77,4334.6,2024-04-24 05:51:00
TXN-969800BB,2328.1,GBP,CUST-5082,2024-03-03 14:08:00,refunded,STR-TXN-969800BB,67.81,2260.29,2024-03-05 14:08:00
TXN-1D306179,3341.21,GBP,CUST-6198,2024-08-14 19:52:00,failed,STR-TXN-1D306179,97.2,3244.01,2024-08-16 19:52:00
TXN-D32C581D,2139.44,GBP,CUST-8305,2024-03-22 23:55:00,refunded,STR-TXN-D32C581D,62.34,2077.1,2024-03-24 23:55:00
TXN-24AE4028,2255.85,USD,CUST-5543,2024-09-23 15:40:00,settled,STR-TXN-24AE4028,65.72,2190.13,2024-09-25 15:40:00
TXN-7590110C,1380.24,USD,CUST-5681,2024-04-30 08:21:00,settled,STR-TXN-7590110C,40.33,1339.91,2024-05-02 08:21:00
TXN-85F41EEC,4466.2,USD,CUST-3267,2024-03-18 07:24:00,settled,STR-TXN-85F41EEC,129.82,4336.38,2024-03-20 07:24:00
TXN-EB83578C,3570.38,USD,CUST-7797,2024-07-27 10:34:00,refunded,STR-TXN-EB83578C,102.82,3432.21,2024-07-29 10:34:00
TXN-AE179E96,2084.71,USD,CUST-7883,2024-07-18 18:44:00,settled,STR-TXN-AE179E96,60.76,2023.95,2024-07-20 18:44:00
TXN-09C6C398,4285.09,GBP,CUST-7232,2024-09-01 00:22:00,settled,STR-TXN-09C6C398,124.57,4160.52,2024-09-03 00:22:00
TXN-C621D842,3769.84,EUR,CUST-9818,2024-10-06 19:57:00,settled,STR-TXN-C621D842,109.63,3660.21,2024-10-08 19:57:00
TXN-46A6DA89,2470.73,USD,CUST-8140,2024-09-05 00:24:00,settled,STR-TXN-46A6DA89,71.24,2375.03,2024-09-07 00:24:00
TXN-D05701A4,3347.68,EUR,CUST-3704,2024-08-27 04:39:00,failed,STR-TXN-D05701A4,97.38,3250.3,2024-08-29 04:39:00
TXN-EBB27F1C,144.56,EUR,CUST-1444,2024-02-12 20:27:00,settled,STR-TXN-EBB27F1C,4.49,140.07,2024-02-14 20:27:00
TXN-71743D08,4335.59,USD,CUST-1823,2024-05-13 12:20:00,settled,STR-TXN-71743D08,126.03,4209.56,2024-05-15 12:20:00
TXN-E8ABF38C,2301.74,USD,CUST-7211,2024-05-22 13:16:00,settled,STR-TXN-E8ABF38C,66.39,2212.56,2024-05-24 13:16:00
TXN-105E5BE1,2356.83,GBP,CUST-1853,2024-06-28 07:41:00,settled,STR-TXN-105E5BE1,68.65,2288.18,2024-06-30 07:41:00
TXN-CBF633FA,3908.35,USD,CUST-1508,2024-05-06 06:53:00,settled,STR-TXN-CBF633FA,113.64,3794.71,2024-05-08 06:53:00
TXN-67FF0A8E,3110.46,USD,CUST-3068,2024-08-30 21:07:00,failed,STR-TXN-67FF0A8E,90.5,3019.96,2024-09-01 21:07:00
TXN-B5D77932,4739.31,EUR,CUST-5198,2024-07-07 05:38:00,failed,STR-TXN-B5D77932,137.74,4601.57,2024-07-09 05:38:00
TXN-22233DA4,4819.04,USD,CUST-3683,2024-06-08 03:37:00,settled,STR-TXN-22233DA4,140.05,4678.99,2024-06-10 03:37:00
TXN-E16CC979,4645.15,GBP,CUST-7149,2024-07-22 22:12:00,settled,STR-TXN-E16CC979,135.01,4510.14,2024-07-24 22:12:00
TXN-8A4C85A9,2964.57,USD,CUST-2669,2024-12-22 09:54:00,failed,STR-TXN-8A4C85A9,86.27,2878.3,2024-12-24 09:54:00
TXN-4259C8F5,4029.58,GBP,CUST-1672,2024-06-26 17:27:00,settled,STR-TXN-4259C8F5,117.16,3912.42,2024-06-28 17:27:00
TXN-D1668FDB,354.09,USD,CUST-1207,2024-08-03 15:06:00,refunded,STR-TXN-D1668FDB,10.57,343.52,2024-08-05 15:06:00
TXN-EC674F0C,4852.37,EUR,CUST-3506,2024-08-10 05:46:00,failed,STR-TXN-EC674F0C,139.63,4664.7,2024-08-12 05:46:00
TXN-2C804EA3,4875.99,USD,CUST-9817,2024-09-04 14:27:00,failed,STR-TXN-2C804EA3,140.3,4687.41,2024-09-06 14:27:00
TXN-A912AD0A,1349.29,USD,CUST-2419,2024-05-22 14:15:00,refunded,STR-TXN-A912AD0A,39.43,1309.86,2024-05-24 14:15:00
TXN-B0C13B24,2853.55,EUR,CUST-6511,2024-01-15 15:54:00,settled,STR-TXN-B0C13B24,83.05,2770.5,2024-01-17 15:54:00
TXN-5176E8F3,917.38,USD,CUST-6813,2024-05-12 10:17:00,failed,STR-TXN-5176E8F3,26.9,890.48,2024-05-14 10:17:00
TXN-19F91430,3508.91,USD,CUST-1166,2024-09-21 06:05:00,settled,STR-TXN-19F91430,102.06,3406.85,2024-09-23 06:05:00
TXN-47C3E3DB,3603.17,EUR,CUST-4937,2024-12-19 15:41:00,refunded,STR-TXN-47C3E3DB,104.79,3498.38,2024-12-21 15:41:00
TXN-34841533,2246.39,USD,CUST-2524,2024-05-30 07:25:00,settled,STR-TXN-34841533,65.45,2180.94,2024-06-01 07:25:00
TXN-4FAA78EB,1537.97,GBP,CUST-7046,2024-08-30 17:33:00,settled,STR-TXN-4FAA78EB,44.9,1493.07,2024-09-01 17:33:00
TXN-5626C9F8,2133.26,GBP,CUST-6419,2024-06-29 22:29:00,settled,STR-TXN-5626C9F8,62.16,2071.1,2024-07-01 22:29:00
TXN-9B47C61F,1540.05,USD,CUST-2976,2024-04-08 10:07:00,failed,STR-TXN-9B47C61F,44.96,1495.09,2024-04-10 10:07:00
TXN-FDDCB8DE,4754.88,USD,CUST-4138,2024-04-20 23:30:00,settled,STR-TXN-FDDCB8DE,138.19,4616.69,2024-04-22 23:30:00
TXN-9344EBCD,3625.68,GBP,CUST-5636,2024-02-21 06:18:00,settled,STR-TXN-9344EBCD,105.44,3520.24,2024-02-23 06:18:00
TXN-27A8D693,1828.91,USD,CUST-1231,2024-12-28 17:08:00,settled,STR-TXN-27A8D693,52.81,1757.99,2024-12-30 17:08:00
TXN-65052B90,237.12,USD,CUST-5786,2024-12-23 04:40:00,refunded,STR-TXN-65052B90,7.18,229.94,2024-12-25 04:40:00
TXN-8C3CE947,521.91,USD,CUST-5658,2024-08-28 15:28:00,settled,STR-TXN-8C3CE947,15.44,506.47,2024-08-30 15:28:00
TXN-D2DF1B55,929.97,USD,CUST-5136,2024-09-01 03:52:00,settled,STR-TXN-D2DF1B55,27.27,902.7,2024-09-03 03:52:00
TXN-17C75E4B,2009.53,USD,CUST-1878,2024-03-18 04:51:00,failed,STR-TXN-17C75E4B,58.58,1950.95,2024-03-20 04:51:00
TXN-EBF88972,4746.14,USD,CUST-5066,2024-03-01 17:48:00,refunded,STR-TXN-EBF88972,137.94,4608.2,2024-03-03 17:48:00
TXN-875DAEDE,3035.53,GBP,CUST-4697,2024-09-24 12:28:00,refunded,STR-TXN-875DAEDE,88.33,2947.2,2024-09-26 12:28:00
TXN-C9BC051B,1493.79,GBP,CUST-8025,2024-06-05 18:39:00,settled,STR-TXN-C9BC051B,43.62,1450.17,2024-06-07 18:39:00
